path_id,memory_path,no_memory_path,memory_path_length,no_memory_path_length,is_same
24657,Sunlight;Sun;United_States;WRONG_ANSWER,Sunlight;Sun;United_States;WRONG_ANSWER,4,4,True
24659,Sunset_Boulevard_%281950_film%29;Cinema_of_the_United_States;California;Agriculture,Sunset_Boulevard_%281950_film%29;Cinema_of_the_United_States;California;Agriculture,4,4,True
24666,Super_14;New_Zealand;Auckland;Wellington;Australia;Canberra;Beijing;Shanghai;WRONG_ANSWER,Super_14;New_Zealand;James_Cook;Australia;WRONG_ANSWER,9,5,False
24670,Super_Bowl_XL;New_England_Patriots,Super_Bowl_XL;New_England_Patriots,2,2,True
24672,Super_Bowl_XL;Russia;Russian_language,Super_Bowl_XL;Russia;Russian_language,3,3,True
24676,Super_Chief;Train;South_Africa;Cape_Town,Super_Chief;Train;South_Africa;Cape_Town,4,4,True
24678,Super_Chief;First_Transcontinental_Railroad;New_York_City;Erie_Canal,Super_Chief;Train;Rail_transport;New_York_City;Erie_Canal,4,5,False
24681,Super_Chief;Amtrak;United_States;Nicaragua,Super_Chief;Train;Rail_transport;United_States;Nicaragua,4,5,False
24686,Super_Mario_64;Europe;Baltic_Sea,Super_Mario_64;Europe;Baltic_Sea,3,3,True
24689,Super_Mario_64;Mario;United_States;George_W._Bush,Super_Mario_64;Mario;United_States;George_W._Bush,4,4,True
24692,Super_Mario_64;Nintendo;Internet;Microsoft;World_Wide_Web;History_of_the_Internet;Internet_Explorer,Super_Mario_64;Mario;Nintendo;Internet;World_Wide_Web;Internet_Explorer,7,6,False
24700,Super_Mario_64;Japan;Asia;Singapore,Super_Mario_64;Japan;Asia;Singapore,4,4,True
24703,Super_Mario_Bros.;Europe;Germany;Adolf_Hitler,Super_Mario_Bros.;Japan;Germany;Nazism;Adolf_Hitler,4,5,False
24706,Super_Mario_Bros.;Italy;Roman_Empire;Ancient_Rome;Egypt;Hatshepsut,Super_Mario_Bros.;Mario;Nintendo;Japan;Asia;Egypt;Hatshepsut,6,7,False
24709,Super_Mario_Bros.;Japan;Iraq_War;Middle_East;Mesopotamia,Super_Mario_Bros.;Japan;Asia;Mesopotamia,5,4,False
24717,Superconductivity;Quantum_mechanics;Computer;Unix,Superconductivity;Quantum_mechanics;Computer;Unix,4,4,True
24723,Superman;Music;Folk_music,Superman;Music;Folk_music,3,3,True
24731,Superman;United_States;Panama,Superman;United_States;Panama,3,3,True
24739,Supermarine_Spitfire;South_Africa;Johannesburg,Supermarine_Spitfire;South_Africa;Johannesburg,3,3,True
24744,Supermarine_Spitfire;Ireland;Irish_poetry;William_Butler_Yeats,Supermarine_Spitfire;Ireland;William_Butler_Yeats,4,3,False
24756,Supply_chain_management;Logistics;Transport;Australia;Indian_Ocean;2004_Indian_Ocean_earthquake,Supply_chain_management;Logistics;Transport;Australia;Indian_Ocean;2004_Indian_Ocean_earthquake,6,6,True
24759,Supply_chain_management;Logistics;Manufacturing;Business;Economics;University_of_Chicago;Princeton_University;New_York_City;Business;LOOP_DETECTED,Supply_chain_management;Logistics;Transport;Economics;Education;University;WRONG_ANSWER,10,7,False
24761,Supply_chain_management;Logistics;Transport;Train;Rail_transport;India;Indus_River,Supply_chain_management;Logistics;Transport;Train;Rail_transport;India;Indus_River,7,7,True
24769,Supreme_Court_of_the_United_States;United_States;Agriculture;Nitrogen;Ammonia;Sodium,Supreme_Court_of_the_United_States;United_States;Agriculture;Nitrogen;Ammonia;Sodium,6,6,True
24772,Supreme_Court_of_the_United_States;United_States;Middle_East;Yemen,Supreme_Court_of_the_United_States;United_States;Middle_East;Yemen,4,4,True
24776,Surtsey;Iceland;Government,Surtsey;Iceland;Government,3,3,True
24779,Sutton_Hoo;Textile;Cotton,Sutton_Hoo;Bede;England;British_Empire;Cotton,3,5,False
24781,Sutton_Hoo;Bede;Hebrew_language,Sutton_Hoo;Bede;Hebrew_language,3,3,True
